sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,error_type,text_sample
5,10,Livres occasion,2705,Livres neufs,0.8239701232323298,high_confidence,Le Silence Des Anges 
8,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.7666405621554062,high_confidence,Assassin's Creed Revelations Collectors Edition [Jeu Xbox 360] 
14,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.38182174513749567,low_confidence,Carola - Jean Renoir - Leslie Caron - 1973 - Avant-Scène Théâtre N° 597 
19,2585,Outillage de jardin,2583,Piscine et accessoires,0.6208232224920791,high_confidence,BATI JET' PRO - Pulvérisateur Electrique Autonome Fonctionne sur batterie rechargeable. Autonomie en utilisation continue d une batterie : 2h      Recharge en 45 min. 2 batterie Lithium de serie     P...
28,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.9385963328819046,high_confidence,Sharon Stone : Lot De Coupures De Presse 
30,2462,Console et Jeux vidéos occasion,50,Accessoires gaming,0.9464101207408576,high_confidence,Skylanders Giants + Le Plateau 
33,2280,Journaux et revues occasion,10,Livres occasion,0.27831304439616467,low_confidence,Midam Kid Paddle Plan De Communication 2007 
43,1140,Objets pop culture,1280,Jouets enfant,0.46759450780506195,low_confidence,Lot De 2 Figurines La Petite Sirene Et Le Crabe 
68,2585,Outillage de jardin,2060,Décoration,0.4044277637941182,low_confidence,Halloween Masque bouche d'horreur effrayant visage Fancy dents Zombies cadeau sanglant Horrific okadaopa110 Scary Halloween Horror bouche Masque visage Fancy dents Zombies cadeau sanglant Horrific Fea...
70,1920,Linge de maison,2060,Décoration,0.9574123795067975,high_confidence,Taie Canapé Voiture Taille Throw Coussin Décoration Pillow Case 24098 Taie Sofa taille voiture Throw Coussin Accueil Décoration Description: 100% tout neuf mode camouflage parfait pour place sur le ca...
74,2280,Journaux et revues occasion,2705,Livres neufs,0.8183933577655136,high_confidence,La Hulotte N° 9 - Comment Bague-T-On Les Oiseaux ? Un Lerot En Cour D'assises Les Malheures De La Hulotte La Nature En Février Les Nouveaux C.P.N Les 30 Premiers Gagnants Du Voyage Au ... 
79,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.8850011929785003,high_confidence,Fifa 16 - Xbox 360 FIFA 16 - Xbox 360
91,1280,Jouets enfant,1300,Modélisme,0.7217881032087677,high_confidence,Handheld Extension Rod Selfie Bâton Avec 1/4 Adaptateur Vis Pour Dji Osmo Pocket Extension de poche portable Rod selfie Bâton Avec 1/4 Vis Adaptateur pour DJI Osmo Pocket Caractéristiques: Hautement r...
103,1320,Puériculture,1920,Linge de maison,0.9598405173781988,high_confidence,Cot/Bed Duvet Cover &amp; Pc - Bird Emb Pink - Ensemble couette et Taie d&#39;oreiller - Oiseaux brodés Ensemble couette et Taie d&#39;oreiller - Oiseaux brodés - Lavable en machine à 40 ° c.- 100% Co...
109,2905,Jeux PC en téléchargement,1280,Jouets enfant,0.287354763298374,low_confidence,Delicious Emily's New Beginning - Jeu En Téléchargement <p>Cela signifie que la mère Emily a un peu plus de temps pour elle-même. Puis elle peut enfin continuer avec son restaurant! Pouvez-vous aider ...
111,2280,Journaux et revues occasion,2522,Fournitures papeterie,0.6972993104168129,high_confidence,Rêves Voilés * 1986 * Daniel Fayolle 80 Pages Hardcover <br /><p></p> <p>Rêves Voilés</p> <p>Daniel Fayolle</p> <p></p> <p>Collection Marine</p> <p>Snege Editions</p> <br /><p>Livre relié</p> <p>Couve...
119,2705,Livres neufs,10,Livres occasion,0.3712787775746776,low_confidence,La Croix De Roses 
136,1280,Jouets enfant,1140,Objets pop culture,0.26881074815097405,low_confidence,Nirvash Type Zero (Eureka Twin Sheet) 
141,2280,Journaux et revues occasion,10,Livres occasion,0.7675186412101209,high_confidence,Collection  De Monsieur X /Restauration-Louis Philippe Et Second  Empire / 2007  
156,2582,Mobilier et accessoires de jardin,2060,Décoration,0.38598010204458877,low_confidence,Statue Sculpture Chat En Ciment 20 Cm <p>Ce <strong>chat en ciment</strong> ira parfaitement dans votre jardin ou votre intérieur. Cette <strong>statue ou sculpture de chat</strong> est résistante aux...
163,2060,Décoration,2582,Mobilier et accessoires de jardin,0.8920230910409559,high_confidence,Lampadaire De Jardin E27 220 Cm Aluminium 3 Lanternes Blanc <p>Ce lampadaire de jardin à 3 lanternes convient à tous ceux qui souhaitent éclairer leur jardin avec un éclairage fonctionnel sûr et d&#39...
164,1140,Objets pop culture,1280,Jouets enfant,0.3054562107647796,low_confidence,Les Castors En Chine - 7 Pièces 
167,10,Livres occasion,2403,Lots livres et magazines,0.26252952002717145,low_confidence,Spécial Fruits - Tartes Verrines Crumbles & Cie 
168,1560,Mobilier,2060,Décoration,0.5432602576782746,high_confidence,Bière Metal Head Ceinture Party Bouteille Drôle Boucle De Ceinture Boucle Porte-Bière Fournitures De Cuisine 14871 Bière Metal Head Party ceinture bouteille drôle boucle de ceinture à boucle bière Hol...
174,2905,Jeux PC en téléchargement,1281,Jeux enfant,0.2945058590378583,low_confidence,Hearts Of Iron Iv: Man The Guns - Jeu En Téléchargement <p><strong>NOTE:</strong> Nécessite le jeu original <strong>Hearts of Iron IV</strong> pour fonctionner.</p><p>De la bataille de l&#39;Atlantiqu...
175,2060,Décoration,1302,Jeux et accessoires de plein air,0.4931629506807975,low_confidence,Rockbros Cyclisme Sports De Plein Air Lunettes De Vélo Lunettes De Soleil 3 Polarisants Lentille RockBros Cyclisme Sports de plein air Lunettes vélo polarisants Lunettes de soleil 3 Objectif Détails s...
178,40,Jeux consoles neuf,2705,Livres neufs,0.6021344358092507,high_confidence,Virtua Fighter 4 Evolution Dix ans se sont écoulés depuis le premier Virtua Fighter sur Playstation qui à l'époque avait bouleversé le monde de la baston 2D et propulsé Sega en maître incontesté du ge...
181,40,Jeux consoles neuf,10,Livres occasion,0.13724883518141456,low_confidence,Ready Rumble Boxing 2 
189,2583,Piscine et accessoires,1302,Jeux et accessoires de plein air,0.7402913138546443,high_confidence,Ballon de volley néoprène sport Ballon de volley néoprène sport   Ballon en néoprène doux au touché et très résistant - Design Sport
191,1302,Jeux et accessoires de plein air,10,Livres occasion,0.17493563707152973,low_confidence,Nordy Arrow Pledge Scorpio ARROW PLEDGE Arc Scorpion - Charge ton arbalete vise et tire jusqu'a 25 metres ! 3 types de fleches : 1 furtive qui file tout droit 1 hurlante qui siffle et 1 fleche a vento...
194,40,Jeux consoles neuf,50,Accessoires gaming,0.8182956950352058,high_confidence,Silicone Housse De Protection Pour Poké Ball Plus Pokemon Lets Go Pikachu Evoli Jeu Quickio Silicone Housse de protection pour Poké Ball plus Pokemon Lets Go Pikachu Evoli jeu Feature: La couverture d...
196,40,Jeux consoles neuf,50,Accessoires gaming,0.9022983657613317,high_confidence,Hauteur Portable Réglable Lecture Support Pour Nin Console Switch Support Quickio &amp; Nbsp; Hauteur Portable Lecture réglable pour Nintendo Caractéristiques Commutateur de Support de la Console: spé...
200,1560,Mobilier,1320,Puériculture,0.8434690850978895,high_confidence,3 En 1 Humidificateur Mignon Led Dog Humidificateur Dair Du Ventilateur Diffuseur Purificateur Atomiseur Sweetheart93 3 Dans 1 Purificateur dair Humidificateur USB Portable vapeur Veilleuse ventilateu...
201,1920,Linge de maison,1560,Mobilier,0.8708415363240066,high_confidence,Diy Two Tone Glitter Paillettes Coussins Coussin Décoratif Couvre E Cc884 DIY Two Tone Glitter Paillettes coussins Coussin décoratif Case Sofa Covers voiture Caractéristiques: Matériel: Paillettes Cou...
210,1160,Cartes de jeux,10,Livres occasion,0.19659310004191147,low_confidence,Calcification De Masse -M15- 018/269 
216,60,Consoles de jeux,40,Jeux consoles neuf,0.38432130817848553,low_confidence,Xbox 360 Elite (120 Go) Limited Edition Resident Evil 5 
222,2403,Lots livres et magazines,2280,Journaux et revues occasion,0.3778591717609286,low_confidence,Alfred Manessier Les Tours Et Autres Peintures Catalogue D'exposition Soissons 2005 
227,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.5081996212591043,high_confidence,Phildar Décoration Et Loisirs  N° 6 : Phildar Décoration Et Loisirs 
232,1302,Jeux et accessoires de plein air,2585,Outillage de jardin,0.4010592281163153,low_confidence,Pocket Outils Multifonctions Porte-Clé Tournevis Clips Clips Cheveux Épingle À Cheveux Stream Pocket Outils multifonctions porte-clés Tournevis Clip Clé pinces à cheveux épingle à cheveux BlackFeature...
235,1560,Mobilier,2583,Piscine et accessoires,0.867374509915776,high_confidence,Bestway Lit Gonflable Cornerstone 2 Places Avec Pompe Intégrée 67600 <p>Le lit pneumatique Cornerstone de la marque Bestway est un matelas gonflable très épais pour 2 personnes avec une pompe à couran...
236,2462,Console et Jeux vidéos occasion,50,Accessoires gaming,0.5303558667911711,high_confidence,Nintendo Mini Nes - Neuve - Ideal Cadeau Noel  
237,1300,Modélisme,1160,Cartes de jeux,0.23363149326353572,low_confidence,Monsteur Truk Mta4 Thermique 
249,2705,Livres neufs,10,Livres occasion,0.887816419315106,high_confidence,Manuel De La Charrue 
250,1300,Modélisme,2403,Lots livres et magazines,0.4070463029464264,low_confidence,Turbo-Rhino 1 - La Corne De Rhinoceros - Spirou Et Fantasio - 1/43-Atlas 
252,40,Jeux consoles neuf,1160,Cartes de jeux,0.9916740856901187,high_confidence,Yu Gi Oh 5d's Wheelie Breaker 
255,2705,Livres neufs,10,Livres occasion,0.3938591685998423,low_confidence,A Son Corps Défendant 
257,2705,Livres neufs,10,Livres occasion,0.1822220590591266,low_confidence,L'isle Haute: En Marge De Grand-Pré 
259,2585,Outillage de jardin,10,Livres occasion,0.3199125374598531,low_confidence,LANCE FRUITIERE 1.50M +RACCORD D10 
